id,rentaldate,returndate,customerid
acr03,03/01/2020,,coai
minecraft23,17/01/2022,19/01/2022,tteo
gta517,19/01/2022,23/01/2022,lpwo
overwatch26,22/01/2022,14/02/2022,oyjm
spider07,19/01/2022,,lpwo
reddead27,03/02/2022,18/02/2022,urjh
sims434,03/02/2022,18/02/2022,urjh
battlefield32,24/11/2022,01/12/2022,fkst
minecraft38,01/11/2022,01/12/2022,wyiu
battlefield31,23/01/2022,09/02/2022,qrkv
minecraft23,17/01/2022,19/01/2022,tteo
battlefield32,12/10/2022,24/10/2022,ynnd
cod02,19/02/2022,,glot
spider07,21/02/2022,08/03/2022,bsqb
overwatch26,27/01/2022,15/02/2022,abcd
overwatch26,12/02/2022,06/03/2022,neoj
minecraft37,18/02/2022,20/02/2022,kccg
cod02,16/01/2022,12/02/2022,xlbr
lol11,16/01/2022,12/02/2022,xlbr
gta517,13/01/2022,17/01/2022,biey
gta517,23/03/2022,28/03/2022,rjmf
minecraft37,23/03/2022,28/03/2022,rjmf
horizon36,03/03/2022,18/03/2022,xaha
lol11,12/03/2022,19/03/2022,pqyu
witcher15,12/03/2022,19/03/2022,pqyu
minecraft37,18/04/2022,,kxhg
doom353,12/04/2022,,phyx
gta518,07/04/2022,15/04/2022,vxol
minecraft37,07/04/2022,15/04/2022,vxol
doom354,02/04/2022,23/04/2022,zzxx
assassins19,03/04/2022,29/04/2022,abcd
minecraft38,12/04/2022,25/04/2022,ooxo
spider08,18/04/2022,,phyx
fortnite22,18/04/2022,,phyx
gta518,10/05/2022,11/05/2022,jdkp
lol11,10/05/2022,14/05/2022,bzqo
overwatch25,09/05/2022,16/05/2022,moay
minecraft37,10/05/2022,11/05/2022,jdkp
overwatch25,08/05/2022,20/05/2022,lbsj
minecraft37,23/01/2022,07/02/2022,bdtd
horizon36,19/03/2022,,wjsu
lol11,24/03/2022,27/03/2022,bdrv
minecraft37,18/02/2022,20/02/2022,kccg
overwatch26,12/02/2022,06/03/2022,neoj
spider07,21/02/2022,08/03/2022,bsqb
minecraft37,23/03/2022,28/03/2022,rjmf
gta517,23/03/2022,28/03/2022,rjmf
doom354,18/04/2022,28/04/2022,ebku
minecraft37,07/04/2022,15/04/2022,vxol
lol11,30/08/2022,23/09/2022,esrt
minecraft37,18/04/2022,,kxhg
minecraft38,28/09/2022,08/10/2022,euuz
fortnite21,27/08/2022,02/09/2022,qyxl
witcher16,12/08/2022,03/09/2022,xxhf
